business_id,category
1SWheh84yJXfytovILXOAQ,Golf
1SWheh84yJXfytovILXOAQ,Active Life
QXAEGFB4oINsVuTFxEYKFQ,Specialty Food
QXAEGFB4oINsVuTFxEYKFQ,Restaurants
QXAEGFB4oINsVuTFxEYKFQ,Dim Sum
QXAEGFB4oINsVuTFxEYKFQ,Imported Food
QXAEGFB4oINsVuTFxEYKFQ,Food
QXAEGFB4oINsVuTFxEYKFQ,Chinese
QXAEGFB4oINsVuTFxEYKFQ,Ethnic Food
QXAEGFB4oINsVuTFxEYKFQ,Seafood
gnKjwL_1w79qoiV3IC_xQQ,Sushi Bars
gnKjwL_1w79qoiV3IC_xQQ,Restaurants
gnKjwL_1w79qoiV3IC_xQQ,Japanese
xvX2CttrVhyG2z1dFg_0xw,Insurance
xvX2CttrVhyG2z1dFg_0xw,Financial Services
HhyxOkGAM07SRYtlQ4wMFQ,Plumbing
HhyxOkGAM07SRYtlQ4wMFQ,Shopping
HhyxOkGAM07SRYtlQ4wMFQ,Local Services
HhyxOkGAM07SRYtlQ4wMFQ,Home Services
HhyxOkGAM07SRYtlQ4wMFQ,Kitchen & Bath
HhyxOkGAM07SRYtlQ4wMFQ,Home & Garden
HhyxOkGAM07SRYtlQ4wMFQ,Water Heater Installation/Repair
68dUKd8_8liJ7in4aWOSEA,Shipping Centers
68dUKd8_8liJ7in4aWOSEA,Couriers & Delivery Services
68dUKd8_8liJ7in4aWOSEA,Local Services
68dUKd8_8liJ7in4aWOSEA,Printing Services
5JucpCfHZltJh5r1JabjDg,Beauty & Spas
5JucpCfHZltJh5r1JabjDg,Hair Salons
gbQN7vr_caG_A1ugSmGhWg,Hair Salons
gbQN7vr_caG_A1ugSmGhWg,Hair Stylists
gbQN7vr_caG_A1ugSmGhWg,Barbers
gbQN7vr_caG_A1ugSmGhWg,Men's Hair Salons
gbQN7vr_caG_A1ugSmGhWg,Cosmetics & Beauty Supply
gbQN7vr_caG_A1ugSmGhWg,Shopping
